#,Player,Team,Matches,Batting,Bowling,Fielding,Other,MOM #,Total
1.0,Sam Sabharwal,Windsor Tigers CC,16.0,2213.0,380.0,130.0,250.0,5.0,2973.0
,Windsor Tigers CC,,,,,,,,
2.0,Imran Khan,Chatham CC,15.0,1938.0,700.0,80.0,200.0,4.0,2918.0
,Chatham CC,,,,,,,,
3.0,Rama Tarun Ganne,Windsor Royals CC,19.0,2277.0,0.0,260.0,250.0,5.0,2787.0
,Windsor Royals CC,,,,,,,,
4.0,Sahil Sharma,Windsor Royals CC,19.0,1900.0,540.0,100.0,150.0,3.0,2690.0
,Windsor Royals CC,,,,,,,,
5.0,Karamjit Sohal,WEUnited CC,17.0,1295.0,990.0,100.0,200.0,4.0,2585.0
,WEUnited CC,,,,,,,,
6.0,Meghrajsinh Solanki,WEUnited CC,19.0,1556.0,700.0,90.0,150.0,3.0,2496.0
,WEUnited CC,,,,,,,,
7.0,Binay Kumar,Windsor Lions CC,18.0,1474.0,730.0,130.0,150.0,3.0,2484.0
,Windsor Lions CC,,,,,,,,
8.0,Tanmeet Singh,EOCC,13.0,1405.0,750.0,70.0,150.0,3.0,2375.0
,EOCC,,,,,,,,
9.0,Gurpreet Gopi,Malik CC,19.0,1860.0,0.0,130.0,300.0,6.0,2290.0
,Malik CC,,,,,,,,
10.0,Dhruv Patel,Gujarat Lions CC,13.0,1390.0,700.0,40.0,150.0,3.0,2280.0
,Gujarat Lions CC,,,,,,,,
11.0,sai charan,Trophy Fighters,16.0,1149.0,810.0,110.0,200.0,4.0,2269.0
,Trophy Fighters,,,,,,,,
12.0,Rushabh Kumar Patel,Punjab XI CC,18.0,1151.0,700.0,170.0,200.0,4.0,2221.0
,Punjab XI CC,,,,,,,,
13.0,Akshit Naik,Gujarat Super Lions,16.0,1171.0,690.0,110.0,150.0,3.0,2121.0
,Gujarat Super Lions,,,,,,,,
14.0,Sai Santosh Uppalapati,Super Chargers,17.0,1593.0,0.0,350.0,100.0,2.0,2043.0
,Super Chargers,,,,,,,,
15.0,Vishal Patel,Gujarat Super Lions,17.0,1622.0,50.0,190.0,100.0,2.0,1962.0
,Gujarat Super Lions,,,,,,,,
16.0,Hamza Chohan,Malik CC,16.0,873.0,890.0,70.0,100.0,2.0,1933.0
,Malik CC,,,,,,,,
17.0,Naveen Burugupalli,Super Chargers,17.0,1430.0,190.0,110.0,150.0,3.0,1880.0
,Super Chargers,,,,,,,,
18.0,Ashok Pereddy,Vulcans CC,16.0,1227.0,450.0,150.0,50.0,1.0,1877.0
,Vulcans CC,,,,,,,,
19.0,Chandan Sharma,Windsor Lions 2,16.0,1614.0,80.0,130.0,50.0,1.0,1874.0
,Windsor Lions 2,,,,,,,,
20.0,Prabhjot (Sunny) Saini,Windsor Royals CC,19.0,1663.0,10.0,50.0,150.0,3.0,1873.0
,Windsor Royals CC,,,,,,,,
21.0,Atif Sabir,Optimist CC,14.0,1528.0,220.0,20.0,100.0,2.0,1868.0
,Optimist CC,,,,,,,,
22.0,Vijayamadhu Vanga,Super Chargers,17.0,860.0,760.0,170.0,50.0,1.0,1840.0
,Super Chargers,,,,,,,,
23.0,Sahajbeer Virk,Windsor Tigers CC,16.0,761.0,900.0,110.0,50.0,1.0,1821.0
,Windsor Tigers CC,,,,,,,,
24.0,Manpreet Saini,Windsor Tigers CC,18.0,1589.0,0.0,120.0,50.0,1.0,1759.0
,Windsor Tigers CC,,,,,,,,
25.0,Vinay Katikala,Mavericks CC,11.0,1207.0,380.0,30.0,100.0,2.0,1717.0
,Mavericks CC,,,,,,,,
26.0,Kiran Patel,Gujarat Super Lions,16.0,984.0,550.0,80.0,100.0,2.0,1714.0
,Gujarat Super Lions,,,,,,,,
27.0,Praveen Raj Udayakumar,Renegades CC,13.0,576.0,1030.0,50.0,50.0,1.0,1706.0
,Renegades CC,,,,,,,,
28.0,Rajat Batta,Windsor Lions CC,14.0,1260.0,260.0,80.0,100.0,2.0,1700.0
,Windsor Lions CC,,,,,,,,
29.0,Nadeem Aslam,Alpha XI,15.0,1033.0,390.0,130.0,100.0,2.0,1653.0
,Alpha XI,,,,,,,,
30.0,Gaganjot Singh,Punjab XI CC,13.0,1362.0,70.0,90.0,100.0,2.0,1622.0
,Punjab XI CC,,,,,,,,
31.0,Vijaya Bhaskara Reddy Marri,Trophy Fighters,17.0,713.0,590.0,100.0,150.0,3.0,1553.0
,Trophy Fighters,,,,,,,,
32.0,Prabhjot Gill,Windsor Tigers CC,16.0,1163.0,240.0,120.0,0.0,0.0,1523.0
,Windsor Tigers CC,,,,,,,,
33.0,Adit Thakkar,Windsor Warriors,14.0,848.0,420.0,140.0,100.0,2.0,1508.0
,Windsor Warriors,,,,,,,,
34.0,Mukund Bhajikhau,WEUnited CC,16.0,793.0,440.0,110.0,150.0,3.0,1493.0
,WEUnited CC,,,,,,,,
35.0,Kapil Nain,Windsor Royals CC,18.0,930.0,520.0,40.0,0.0,0.0,1490.0
,Windsor Royals CC,,,,,,,,
36.0,Dhairya Bhatt,Windsor Warriors,14.0,508.0,780.0,60.0,100.0,2.0,1448.0
,Windsor Warriors,,,,,,,,
37.0,Jhudia Cruze,Cavaliers CC of Windsor,16.0,970.0,300.0,100.0,50.0,1.0,1420.0
,Cavaliers CC of Windsor,,,,,,,,
38.0,Jaipal Singh,Windsor Tigers CC,16.0,1135.0,90.0,90.0,100.0,2.0,1415.0
,Windsor Tigers CC,,,,,,,,
39.0,Hasan Mahmudul,Malik CC,14.0,771.0,540.0,40.0,50.0,1.0,1401.0
,Malik CC,,,,,,,,
40.0,Tarik Khan,Malik CC,15.0,1181.0,150.0,60.0,0.0,0.0,1391.0
,Malik CC,,,,,,,,
41.0,Gowtham Sivakumar,Renegades CC,16.0,549.0,600.0,130.0,100.0,2.0,1379.0
,Renegades CC,,,,,,,,
